,MoleculeID,CERAPP_Ago_pred,CERAPP_Anta_pred,CERAPP_Bind_pred,CoMPARA_Ago_pred,CoMPARA_Anta_pred,CoMPARA_Bind_pred,CATMoS_VT_pred,CATMoS_NT_pred,CATMoS_EPA_pred,CATMoS_GHS_pred,CATMoS_LD50_pred,dtxsid,group_str,final_picks
2457,DTXSID60871016,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2587.0,DTXSID60871016,"('Organohalogen compounds', 2.0)",
2458,DTXSID6041472,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2049.0,DTXSID6041472,"('Organooxygen compounds', 1.0)",
2459,DTXSID30885943,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2987.0,DTXSID30885943,"('Organoheterocyclic compounds', 3.0)",
2460,DTXSID90887226,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2527.0,DTXSID90887226,"('Organic phosphoric acids and derivatives', 1.0)",
2461,DTXSID2021606,0.0,0.0,0,0.0,0.0,0,0,1,4,5,8881.0,DTXSID2021606,"('Fatty Acyls', 3.0)",
2462,DTXSID0021541,0.0,0.0,0,0.0,0.0,0,0,0,2,3,238.0,DTXSID0021541,"('Organohalogen compounds', 4.0)",
2463,DTXSID2044476,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6534.0,DTXSID2044476,"('Prenol lipids', 1.0)",
2464,DTXSID6044482,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6095.0,DTXSID6044482,"('Prenol lipids', 1.0)",
2465,DTXSID3041790,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6095.0,DTXSID3041790,"('Prenol lipids', 1.0)",
2466,DTXSID40867033,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3070.0,DTXSID40867033,"('Prenol lipids', 2.0)",
2467,DTXSID2063553,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2087.0,DTXSID2063553,"('Organooxygen compounds', 1.0)",
2468,DTXSID50886295,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2083.0,DTXSID50886295,"('Benzene and substituted derivatives', 8.0)",
2469,DTXSID2052075,0.0,1.0,1,0.0,0.0,0,0,1,3,5,2141.0,DTXSID2052075,"('Organooxygen compounds', 3.0)",
2470,DTXSID80887316,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6519.0,DTXSID80887316,"('Prenol lipids', 1.0)",
2471,DTXSID20863053,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2491.0,DTXSID20863053,"('Benzene and substituted derivatives', 8.0)",
2472,DTXSID7061140,0.0,1.0,1,0.0,1.0,1,0,1,3,5,2460.0,DTXSID7061140,"('Benzene and substituted derivatives', 7.0)",
2473,DTXSID8051338,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2708.0,DTXSID8051338,"('Oxanes', nan)",
2474,DTXSID50885667,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2217.0,DTXSID50885667,"('Prenol lipids', 2.0)",
2475,DTXSID2061698,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2291.0,DTXSID2061698,"('Organometallic compounds', 2.0)",
2476,DTXSID00863935,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2787.0,DTXSID00863935,"('Carboxylic acids and derivatives', 1.0)",
2477,DTXSID20865193,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6030.0,DTXSID20865193,"('Prenol lipids', 2.0)",
2478,DTXSID6067595,0.0,0.0,0,0.0,1.0,1,0,1,4,5,6506.0,DTXSID6067595,"('Benzene and substituted derivatives', 8.0)",
2479,DTXSID9047629,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6709.0,DTXSID9047629,"('Organooxygen compounds', 2.0)",
2480,DTXSID00893535,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1049.0,DTXSID00893535,"('Organic nitrogen compounds', 3.0)",
2481,DTXSID7051503,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6231.0,DTXSID7051503,"('Fatty Acyls', 3.0)",
2482,DTXSID0049315,0.0,0.0,0,0.0,0.0,0,0,0,3,4,736.0,DTXSID0049315,"('Benzene and substituted derivatives', 10.0)",
2483,DTXSID3061689,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6900.0,DTXSID3061689,"('Organic phosphonic acids and derivatives', nan)",
2484,DTXSID3067601,0.0,1.0,1,0.0,0.0,0,0,0,3,4,951.0,DTXSID3067601,"('Benzene and substituted derivatives', 10.0)",
2485,DTXSID40866364,0.0,0.0,0,0.0,0.0,0,0,1,4,5,9246.0,DTXSID40866364,"('Fatty Acyls', 2.0)",
2486,DTXSID10867287,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2637.0,DTXSID10867287,"('Prenol lipids', 2.0)",
2487,DTXSID9061756,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2135.0,DTXSID9061756,"('Hydrocarbons', 2.0)",
2488,DTXSID0027438,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2358.0,DTXSID0027438,"('Organic phosphonic acids and derivatives', nan)",
2489,DTXSID3044384,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1206.0,DTXSID3044384,"('Prenol lipids', 2.0)",
2490,DTXSID2044478,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1206.0,DTXSID2044478,"('Other', 4.0)",
2491,DTXSID7044475,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1206.0,DTXSID7044475,"('Prenol lipids', 2.0)",
2492,DTXSID00865878,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2571.0,DTXSID00865878,"('Fatty Acyls', 1.0)",
2493,DTXSID90870714,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2008.0,DTXSID90870714,"('Organohalogen compounds', 2.0)",
2494,DTXSID8066183,0.0,1.0,1,0.0,0.0,0,0,1,3,5,2392.0,DTXSID8066183,"('Naphthalenes', 5.0)",1.0
2495,DTXSID8060242,0.0,0.0,1,0.0,0.0,0,0,1,3,5,2041.0,DTXSID8060242,"('Organometallic compounds', 2.0)",
2496,DTXSID8022163,1.0,1.0,1,0.0,1.0,1,0,1,3,5,2151.0,DTXSID8022163,"('Prenol lipids', 2.0)",
2497,DTXSID40864926,0.0,0.0,0,0.0,1.0,1,0,0,3,4,652.0,DTXSID40864926,"('Phenol ethers', 4.0)",
2498,DTXSID2044686,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2434.0,DTXSID2044686,"('Benzene and substituted derivatives', 8.0)",
2499,DTXSID40942612,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2497.0,DTXSID40942612,"('Organosulfur compounds', 2.0)",
2500,DTXSID2047438,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2351.0,DTXSID2047438,"('Organooxygen compounds', 5.0)",
2501,DTXSID2027418,0.0,0.0,0,0.0,0.0,0,0,0,2,3,224.0,DTXSID2027418,"('Organic nitrogen compounds', 1.0)",
2502,DTXSID0029715,0.0,0.0,0,0.0,1.0,1,0,1,4,5,6870.0,DTXSID0029715,"('Lactones', nan)",
2503,DTXSID60862323,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3101.0,DTXSID60862323,"('Fatty Acyls', 1.0)",
2504,DTXSID0069389,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2239.0,DTXSID0069389,"('Fatty Acyls', 5.0)",
2505,DTXSID10883326,1.0,0.0,1,0.0,0.0,0,0,1,3,5,3315.0,DTXSID10883326,"('Organooxygen compounds', 3.0)",
2506,DTXSID2022331,0.0,0.0,1,0.0,0.0,0,0,0,3,4,721.0,DTXSID2022331,"('Benzene and substituted derivatives', 2.0)",
2507,DTXSID5068314,0.0,0.0,0,0.0,0.0,0,0,0,2,3,274.0,DTXSID5068314,"('Organoheterocyclic compounds', 1.0)",
2508,DTXSID3041663,1.0,0.0,0,0.0,0.0,0,0,1,4,5,6275.0,DTXSID3041663,"('Phenylpropanoids and polyketides', 2.0)",
2509,DTXSID4067937,0.0,0.0,0,0.0,0.0,0,0,0,3,4,621.0,DTXSID4067937,"('Organic nitrogen compounds', 5.0)",
2510,DTXSID5065568,1.0,0.0,1,0.0,1.0,1,0,1,4,5,8911.0,DTXSID5065568,"('Anthracenes', 8.0)",
2511,DTXSID7068766,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3046.0,DTXSID7068766,"('Carboxylic acids and derivatives', 3.0)",
2512,DTXSID30861621,1.0,0.0,1,0.0,1.0,1,0,1,3,5,2682.0,DTXSID30861621,"('Azobenzenes', 3.0)",
2513,DTXSID6064660,0.0,1.0,1,0.0,0.0,0,0,1,3,5,2112.0,DTXSID6064660,"('Phenylpropanoids and polyketides', 2.0)",
2514,DTXSID7025972,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1676.0,DTXSID7025972,"('Organoheterocyclic compounds', 1.0)",
2515,DTXSID1063770,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1367.0,DTXSID1063770,"('Organic nitrogen compounds', 4.0)",
2516,DTXSID5052094,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2593.0,DTXSID5052094,"('Prenol lipids', 2.0)",
2517,DTXSID4048351,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2726.0,DTXSID4048351,"('Pyridines and derivatives', 2.0)",
2518,DTXSID7060546,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2223.0,DTXSID7060546,"('Benzene and substituted derivatives', 8.0)",
